Method_Name,Method_Type
getTypeOfThisForEs6Class,accessor
createThisForEs6Class,accessor
assertNotAddingColors,assertion
isAddingTypes,assertion
getFunctionType,accessor
getTypeOfThis,accessor
getTypeOfThisForFunctionNode,accessor
getInstanceOfColor,accessor
noTypeInformation,accessor
getJSTypeBeforeCast,accessor
assertFunctionType,assertion
let,others
createName,builder
constNode,others
createSingleConstNameDeclaration,builder
createArgumentsReference,builder
getVarDefinitionNode,accessor
createQName,builder
createGetPropsWithoutColors,accessor
skip,others
asList,assertion
createGetProp,accessor
createQNameWithUnknownType,builder
createNameWithUnknownType,builder
createGetPropsWithUnknownType,accessor
getprop,accessor
getJsTypeForProperty,accessor
createGetPropWithoutColor,accessor
createGetPropWithUnknownType,accessor
delprop,others
stringKey,others
computedProp,others
createZeroArgFunction,builder
createReturn,builder
newString,others
in,others
comma,others
createComma,builder
and,others
createUnionType,builder
sub,others
inc,others
lt,others
newCallNode,others
createCall,builder
createFunctionTypeWithVarArgs,builder
newNode,others
isFunctionType,assertion
getInstanceType,accessor
toMaybeFunctionType,builder
createAssign,builder
objectlit,others
createAnonymousObjectType,builder
setQuotedString,accessor
emptyFunction,others
createEmptyFunction,builder
setIsGeneratorFunction,accessor
function,others
paramList,assertion
addChildToBack,others
createFunction,builder
arrowFunction,others
buildAndResolve,builder
withReturnType,others
getJSTypeRequired,accessor
memberFunctionDef,others
sheq,others
eq,others
ne,others
hook,others
createArraylit,builder
createTemplatizedType,builder
getNativeObjectType,accessor
getResolvedTemplateType,accessor
getIterableTemplate,accessor
replaceTemplate,others
getReturnType,accessor
getIteratorValueTemplate,accessor
orElse,others
copyWithExtension,others
getTemplateKeys,accessor
getTemplateTypeMap,accessor
forPartialReplacement,accessor
visit,assertion
createFunctionType,builder
getParameters,accessor
createEmptyGeneratorFunction,builder
getDeclaration,accessor
findPropertyType,others
cast,others
autobox,others
getPropertyType,accessor
matchesName,others
getEmptyTemplateTypeMap,accessor
withParameters,others
maybeBoxIterableOrAsyncIterable,others
getRegistry,accessor
parseWithoutTypes,others
parseInputs,others
parseAndAddTypes,others
getReverseAbstractInterpreter,accessor
processForTesting,accessor
getExternsRoot,accessor
setTypeCheckingHasRun,accessor
parseAndAddColors,others
createScope,builder
createTestAstFactory,builder
createString,builder
isString,assertion
createTestAstFactoryWithColors,builder
getDouble,accessor
isNumber,assertion
createBoolean,builder
isBoolean,assertion
isVoid,assertion
createNot,builder
getGlobalType,accessor
getFunctionBody,accessor
createSingleVarNameDeclaration,builder
isVar,assertion
isConst,assertion
assertThrows,assertion
createThis,builder
createSuper,builder
createThisForEs6ClassMember,accessor
createThisAliasReferenceForEs6Class,accessor
createTestAstFactoryWithoutTypes,builder
isNull,assertion
hasToken,others
createStringKey,builder
childList,assertion
createComputedProperty,builder
inOrder,others
createGetterDef,accessor
hasXChildren,others
hasOneChildThat,others
hasNoChildren,others
hasSecondChildThat,others
createGetElem,accessor
isUnknown,assertion
createCommas,builder
createIn,builder
createAnd,builder
toStringIsEqualTo,builder
hasAlternates,others
createNull,builder
createOr,builder
createAdd,builder
createSub,builder
createLessThan,builder
createInc,builder
getTranspilationNamespace,accessor
matchesQualifiedName,others
root,others
declare,others
createQNameFromTypedScope,builder
defineDeclaredProperty,others
isObjectTypeWithProperty,assertion
script,others
createConstructorCall,builder
createMemberFunctionDef,builder
createZeroArgGeneratorFunction,builder
createZeroArgArrowFunctionForExpression,accessor
createObjectLit,builder
getClass,accessor
singleBuilder,builder
fromAscii,others
objectSpread,others
isSameInstanceAs,assertion
createDelProp,builder
createSheq,builder
createEq,builder
createNe,builder
createHook,builder
isEquivalentTo,assertion
createNewNode,builder
setDefaultNativeColorsForTesting,accessor
hasJSTypeThat,others
hasColorThat,others
hasFirstChildThat,others
setId,accessor
addArguments,others
hasStringThat,others
srcrefIfMissing,assertion
isComma,assertion
detach,others
fuseExpressions,others
cloneNode,others
cloneTree,others
hasParent,others
validateCodeRoot,others
validateNodeType,others
validateChildCount,others
validateScript,others
validateHasSourceName,others
validateHasInputId,others
validateModuleContents,others
validateStatements,others
validateStatement,others
validateLabel,others
validateBlock,others
validateFunctionSignature,others
validateFunctionStatement,others
validateWith,others
validateFor,accessor
validateForIn,accessor
validateForOf,accessor
validateForAwaitOf,accessor
validateWhile,others
validateDo,others
validateSwitch,others
validateIf,others
validateNameDeclarationHelper,others
validateExprStmt,others
validateReturn,others
validateThrow,others
validateTry,others
validateBreak,others
validateContinue,others
validateChildless,others
validateClassDeclaration,others
validateImport,others
validateExport,others
validateInterface,others
validateEnum,others
validateTypeAlias,others
validateAmbientDeclaration,others
validateNamespace,others
violation,others
validateTypeInformation,accessor
validateFeature,others
validateUnaryOp,others
validateIncDecOp,others
validateAssignmentExpression,others
validateCompoundAssignmentExpression,others
validateTrinaryOp,others
validateStringLit,others
validateNumber,others
validateBigInt,others
validateName,others
validateBinaryOp,others
validateGetElem,accessor
validateOptChainGetElem,accessor
validateGetProp,accessor
validateOptChainGetProp,accessor
validateArrayLit,others
validateObjectLit,others
validateRegExpLit,others
validateCall,others
validateOptChainCall,others
validateNew,others
validateFunctionExpression,others
validateClass,others
validateTemplateLit,others
validateTaggedTemplateLit,others
validateYield,others
validateAwait,others
validateExpression,others
isResolved,assertion
isSuper,assertion
validateCallType,others
expectSomeTypeInformation,accessor
expectMatchingTypeInformation,accessor
getEnclosingStatement,accessor
getTypeAnnotationString,accessor
toAnnotationString,builder
validateChildCountIn,others
validateYieldWithinGeneratorFunction,others
getEnclosingFunction,accessor
isGeneratorFunction,assertion
isInParameterListOfFunction,assertion
validateAwaitWithinAsyncFunction,others
isAsyncFunction,assertion
validateImportSpecifiers,others
validateNonEmptyString,others
getChildAtIndex,accessor
validateImportSpecifier,others
validateExportSpecifiers,others
hasTwoChildren,others
validateExportSpecifier,others
isTemplateLitString,assertion
validateTemplateLitString,others
validateTemplateLitSub,others
getRawString,accessor
validateInterfaceExtends,others
validateInterfaceMembers,others
validateNamedType,others
validateInterfaceMember,others
validateEnumMembers,others
validateEnumStringKey,others
validateObjectLiteralKeyName,others
validateClassHelper,others
validateClassMembers,others
validateClassMember,others
validateMemberFunction,others
validateObjectLitKey,others
validateComputedPropClassMethod,others
validateClassField,others
validateComputedPropClassField,others
getSourceFileName,accessor
getInputId,accessor
validateLabelName,others
validateNonNullString,others
validateEmptyString,others
validateParameters,others
validateFunctionBody,others
validateFunctionFeatures,others
validateFunctionExpressionHelper,others
isArrowFunction,assertion
validateEmptyName,others
validateOptionalName,others
isRest,assertion
validateRestParameters,others
validateDefaultValue,others
isArrayPattern,assertion
validateArrayPattern,others
validateObjectPattern,others
validateLHS,others
validateMinimumChildCount,others
validateSuper,others
validatePseudoExpression,others
validateFirstNodeOfOptChain,others
getEnclosingNonArrowFunction,accessor
isFirstChildOf,assertion
isEs6Constructor,assertion
validateRest,others
validateNameDeclarationChild,others
isEnhancedFor,accessor
isForIn,accessor
isDestructuringLhs,assertion
validateGetPropGetElemInLHS,accessor
validateArrayPatternRest,others
validateObjectPatternStringKey,others
validateObjectPatternRest,others
validateObjectPatternComputedPropKey,others
validateEnhancedForVarOrAssignmentTarget,accessor
validateMaximumChildCount,others
validateCatch,others
validateNoCatchBinding,others
validateSwitchMember,others
isDefaultCase,assertion
validateCase,others
validateDefaultCase,others
validateAssignmentOpTarget,accessor
isGetElem,accessor
validatePropertyReferenceTarget,accessor
isOptChainGetElem,accessor
getBigInt,accessor
validateObjectLitGetKey,accessor
validateObjectLitSetKey,accessor
validateObjectLitStringKey,others
validateObjectLitComputedPropKey,others
validateObjectSpread,others
validateObjectLitComputedPropGetKey,accessor
validateObjectLitComputedPropSetKey,accessor
validateAmbientDeclarationHelper,others
validateNamespaceName,others
validateNamespaceElements,others
handleViolation,others
isOptChainNode,assertion
isOptionalChainStart,assertion
arity,others
getChildCount,accessor
hasMoreThanOneChild,others
isFromExterns,assertion
has,others
getFeatureSetOfScript,accessor
getFeatureSet,accessor
createValidator,builder
setTypeValidationMode,accessor
disableAstValidation,assertion
disableNormalize,assertion
valid,others
expectValid,others
expectInvalid,others
detachChildren,others
testFeatureValidation,others
objectPattern,others
setAcceptedLanguage,accessor
arrayPattern,others
setExpectParseWarningsInThisTest,accessor
setInputId,accessor
setStaticSourceFile,accessor
recordType,others
bigint,others
setIsAsyncFunction,accessor
parseValidScript,others
filter,others
preOrderIterable,others
objectRest,others
iterRest,others
putBooleanProp,others
startOptChainCall,others
startOptChainGetprop,accessor
startOptChainGetelem,accessor
continueOptChainGetprop,accessor
continueOptChainGetelem,accessor
continueOptChainCall,others
invalid,others
disableTypeCheck,assertion
putProp,others
with,others
openForDefinition,accessor
doCheck,others
without,others
getOriginalCommentString,accessor
expectAllWarnings,others
createConfig,builder
fill,others
toBase64,builder
testValue,others
base64EncodeInt,others
fromBase64,others
toVLQSigned,builder
fromVLQSigned,others
encode,others
decode,others
initTypes,others
getNativeFunctionType,accessor
addNativeProperties,others
getPropertiesCount,accessor
getPrototype,accessor
addMethod,others
createNullableType,builder
createOptionalType,builder
assertTypeEquals,assertion
evaluate,others
isNotEqualTo,assertion
canTestForEqualityWith,accessor
runtime,others
to,builder
latest,others
toFeatureSet,accessor
getModuleResolutionMode,accessor
compiler,others
createTrivialExterns,builder
options,others
createEmptySource,builder
setOptions,accessor
setOutputFeatureSet,accessor
setQuoteKeywordProperties,accessor
setSkipNonTranspilationPasses,accessor
setWrapGoogModulesForWhitespaceOnly,accessor
setEs6ModuleTranspilation,accessor
setModuleRoots,accessor
setBrowserResolverPrefixReplacements,accessor
setPathEscaper,accessor
setParseInlineSourceMaps,accessor
setApplyInputSourceMaps,accessor
setSourceMapOutputPath,accessor
setSourceMapIncludeSourcesContent,accessor
setSourceMapLocationMappings,accessor
getScheme,accessor
initMocks,others
thenReturn,others
when,others
transpile,others
isGlobalScopeBlock,assertion
getSortedDiagnostics,accessor
printSummary,others
testForEquality,accessor
caseBigIntType,others
createNamedType,builder
setName,accessor
getElementsType,accessor
isAllType,assertion
isArrayType,assertion
isBigIntValueType,assertion
isBigIntObjectType,assertion
isBooleanObjectType,assertion
isBooleanValueType,assertion
isCheckedUnknownType,assertion
isConstructor,assertion
isDateType,assertion
isDict,assertion
isEmptyType,assertion
isEnumElementType,assertion
isEnumType,assertion
isFunctionPrototypeType,assertion
isGlobalThisType,assertion
isInstanceType,assertion
isNamedType,assertion
isNativeObjectType,assertion
isNoObjectType,assertion
isNoResolvedType,assertion
isNoType,assertion
isNullType,assertion
isNumberObjectType,assertion
isNumberValueType,assertion
isObjectType,assertion
isRegexpType,assertion
isSomeUnknownType,assertion
isStringObjectType,assertion
isStringValueType,assertion
isStruct,assertion
isSymbol,assertion
isSymbolObjectType,assertion
isSymbolValueType,assertion
isUnionType,assertion
isVoidType,assertion
isOnlyBigInt,assertion
isNotOnlyBigInt,assertion
enumElementFor,accessor
setElementType,accessor
assertCanTestForEqualityWith,accessor
