folder,loc
.\code_for_parsing\federicoiosue--Omni-Notes,4545
.\code_for_parsing\fesh0r--fernflower,1982
.\code_for_parsing\firebase--quickstart-android,840
.\code_for_parsing\fishercoder1534--Leetcode,5476
.\code_for_parsing\florent37--CameraFragment,265
.\code_for_parsing\florent37--DiagonalLayout,8
.\code_for_parsing\florent37--ExpectAnim,196
.\code_for_parsing\florent37--MaterialViewPager,381
.\code_for_parsing\florent37--ShapeOfView,20
.\code_for_parsing\flutter-webrtc--flutter-webrtc,701
.\code_for_parsing\flyway--flyway,14322
.\code_for_parsing\fossasia--phimpme-android,13829
.\code_for_parsing\fossasia--susi_server,10542
.\code_for_parsing\Frank-Zhu--PullZoomView,223
.\code_for_parsing\Freeyourgadget--Gadgetbridge,20756
.\code_for_parsing\frogermcs--InstaMaterial,74
.\code_for_parsing\frohoff--ysoserial,952
.\code_for_parsing\fuzhengwei--itstack-demo-design,759
.\code_for_parsing\fuzhengwei--small-spring,1233
.\code_for_parsing\fython--MaterialStepperView,542
.\code_for_parsing\gabrielemariotti--cardslib,13869
.\code_for_parsing\gabrielemariotti--RecyclerViewItemAnimators,731
.\code_for_parsing\gcacace--android-signaturepad,116
.\code_for_parsing\gedoor--MyBookshelf,6286
.\code_for_parsing\geeeeeeeeek--WeChatLuckyMoney,88
.\code_for_parsing\geekidea--spring-boot-plus,8569
.\code_for_parsing\geekxh--hello-algorithm,35
.\code_for_parsing\geftimov--android-pathview,433
.\code_for_parsing\Genymobile--gnirehtet,1026
.\code_for_parsing\getActivity--XXPermissions,654
.\code_for_parsing\GeyserMC--Geyser,20850
.\code_for_parsing\gocd--gocd,68698
.\code_for_parsing\google--agera,4111
.\code_for_parsing\google--auto,9427
.\code_for_parsing\google--binnavi,146741
.\code_for_parsing\google--bundletool,13264
.\code_for_parsing\google--cameraview,681
.\code_for_parsing\google--closure-compiler,110580
.\code_for_parsing\google--error-prone,50139
.\code_for_parsing\google--ExoPlayer,77190
.\code_for_parsing\google--gson,8870
.\code_for_parsing\google--guice,19536
.\code_for_parsing\google--hover,1672
.\code_for_parsing\google--j2objc,635533
.\code_for_parsing\google--open-location-code,885
.\code_for_parsing\google--physical-web,2581
.\code_for_parsing\google--truth,12646
.\code_for_parsing\google--tsunami-security-scanner,3558
.\code_for_parsing\GoogleContainerTools--jib,19157
.\code_for_parsing\googlemaps--android-samples,2636
.\code_for_parsing\googlesamples--android-vision,1862
.\code_for_parsing\googlesamples--easypermissions,414
.\code_for_parsing\googlesamples--google-services,442
.\code_for_parsing\gouthampradhan--leetcode,10854
.\code_for_parsing\grantland--android-autofittextview,233
.\code_for_parsing\graphql-java--graphql-java,8816
.\code_for_parsing\Graylog2--graylog2-server,61099
.\code_for_parsing\greenrobot--EventBus,1805
.\code_for_parsing\greenrobot--greenDAO,4697
.\code_for_parsing\grishka--Houseclub,78
.\code_for_parsing\grpc--grpc-java,46571
.\code_for_parsing\guardianproject--haven,911
.\code_for_parsing\guoguibing--librec,20770
.\code_for_parsing\guolindev--booksource,105
.\code_for_parsing\gyf-dev--ImmersionBar,2580
.\code_for_parsing\gyoogle--tech-interview-for-developer,52
.\code_for_parsing\H07000223--FlycoDialog_Master,386
.\code_for_parsing\H07000223--FlycoTabLayout,207
.\code_for_parsing\h2database--h2database,69383
.\code_for_parsing\h2oai--h2o-2,26480
.\code_for_parsing\h2pl--Java-Tutorial,0
.\code_for_parsing\hackware1993--MagicIndicator,278
.\code_for_parsing\haifengl--smile,65439
.\code_for_parsing\halirutan--IntelliJ-Key-Promoter-X,503
.\code_for_parsing\halo-dev--halo,11924
.\code_for_parsing\hanks-zyh--HTextView,150
.\code_for_parsing\HannahMitt--HomeMirror,607
.\code_for_parsing\hansonwang99--Spring-Boot-In-Action,1156
.\code_for_parsing\harjot-oberai--MusicDNA,31244
.\code_for_parsing\HarlonWang--AVLoadingIndicatorView,168
.\code_for_parsing\hdodenhof--CircleImageView,22
.\code_for_parsing\Heeexy--SpringBoot-Shiro-Vue,411
.\code_for_parsing\hefuyicoder--ListenerMusicPlayer,1707
.\code_for_parsing\HeZaiJin--SlantedTextView,32
.\code_for_parsing\hibernate--hibernate-orm,166396
.\code_for_parsing\hitherejoe--animate,155
.\code_for_parsing\Hitomis--transferee,1078
.\code_for_parsing\hongyangAndroid--AndroidAutoLayout,240
.\code_for_parsing\hongyangAndroid--baseAdapter,84
.\code_for_parsing\hongyangAndroid--Highlight,411
.\code_for_parsing\hongyangAndroid--okhttputils,267
.\code_for_parsing\http-kit--http-kit,746
.\code_for_parsing\huanghaibin-dev--CalendarView,4174
.\code_for_parsing\HuanTanSheng--EasyPhotos,1444
.\code_for_parsing\huazhiyuan2008--RecyclerViewCardGallery,87
.\code_for_parsing\huburt-Hu--NewbieGuide,357
.\code_for_parsing\hugeterry--CoordinatorTabLayout,117
.\code_for_parsing\hussien89aa--AndroidTutorialForBeginners,501
.\code_for_parsing\hyb1996--Auto.js,3109
.\code_for_parsing\igniterealtime--Openfire,61415
.\code_for_parsing\igniterealtime--Smack,73194
.\code_for_parsing\igreenwood--SimpleCropView,524
.\code_for_parsing\ikew0ng--SwipeBackLayout,820
.\code_for_parsing\iluwatar--java-design-patterns,35691
.\code_for_parsing\iMeiji--Toutiao,2750
.\code_for_parsing\iNPUTmice--Conversations,3258
.\code_for_parsing\ionic-team--capacitor,1665
.\code_for_parsing\IoT-Technology--IoT-Technical-Guide,1197
.\code_for_parsing\iReaderAndroid--X2C,1049
.\code_for_parsing\ityouknow--spring-boot-examples,217
.\code_for_parsing\iwgang--CountdownView,396
.\code_for_parsing\JabRef--jabref,19682
.\code_for_parsing\jackpal--Android-Terminal-Emulator,3767
.\code_for_parsing\Jacksgong--JKeyboardPanelSwitch,909
.\code_for_parsing\JackyAndroid--AndroidChromium,55618
.\code_for_parsing\jacoco--jacoco,17244
.\code_for_parsing\JakeWharton--butterknife,643
.\code_for_parsing\JakeWharton--DiskLruCache,378
.\code_for_parsing\JakeWharton--hugo,2
.\code_for_parsing\JakeWharton--RxRelay,562
.\code_for_parsing\JakeWharton--scalpel,34
.\code_for_parsing\JakeWharton--ThreeTenABP,8
.\code_for_parsing\JakeWharton--u2020,605
.\code_for_parsing\JakeWharton--ViewPagerIndicator,360
.\code_for_parsing\java-decompiler--jd-gui,2635
.\code_for_parsing\java-native-access--jna,100506
.\code_for_parsing\java8--Java8InAction,334
.\code_for_parsing\javaee--jersey,189792
.\code_for_parsing\javaee-samples--javaee7-samples,12549
.\code_for_parsing\javagrowing--JGrowing,0
.\code_for_parsing\JavaNoober--BackgroundLibrary,164
.\code_for_parsing\javaparser--javaparser,47582
.\code_for_parsing\jbloch--effective-java-3e-source-code,462
.\code_for_parsing\jd-alexander--LikeButton,150
.\code_for_parsing\jdsjlzx--LRecyclerView,2925
.\code_for_parsing\jeasonlzy--okhttp-OkGo,5656
.\code_for_parsing\jeecgboot--jeecg-boot,16434
.\code_for_parsing\JeffLi1993--springboot-learning-example,472
.\code_for_parsing\jenkinsci--configuration-as-code-plugin,1453
.\code_for_parsing\jenkinsci--jenkins,79861
.\code_for_parsing\JessYanCoding--MVPArms,4850
